date	empleo_volumen	replies	retweets	likes	iso_2
2019-12-31	103	21	27	474	BR
2020-01-01	357	189	1366	5061	BR
2020-01-02	390	379	994	5218	BR
2020-01-03	339	185	748	4503	BR
2020-01-04	342	396	548	7854	BR
2020-01-05	337	674	4948	36580	BR
2020-01-06	411	421	658	7013	BR
2020-01-07	435	189	671	3867	BR
2020-01-08	421	217	724	5583	BR
2020-01-09	497	911	2590	21772	BR
2020-01-10	497	377	1316	6209	BR
2020-01-11	390	922	2832	17222	BR
2020-01-12	361	333	601	2849	BR
2020-01-13	494	437	828	11405	BR
2020-01-14	525	677	1769	9068	BR
2020-01-15	509	356	1278	6294	BR
2020-01-16	577	537	1634	7339	BR
2020-01-17	469	374	1565	5178	BR
2020-01-18	319	347	291	2424	BR
2020-01-19	291	302	418	3231	BR
2020-01-20	578	655	2342	13974	BR
2020-01-21	693	2294	3981	21073	BR
2020-01-22	513	278	546	3076	BR
2020-01-23	672	682	2381	11481	BR
2020-01-24	733	523	2430	17699	BR
2020-01-25	469	809	2035	11042	BR
2020-01-26	1493	3698	2850	17617	BR
2020-01-27	539	3285	3807	80792	BR
2020-01-28	791	971	4594	26035	BR
2020-01-29	714	1218	8336	43756	BR
2020-01-30	702	1289	2327	12073	BR
2020-01-31	774	1918	2679	16168	BR
2020-02-01	406	168	497	3311	BR
2020-02-02	195	330	1176	5967	BR
2020-02-03	610	415	1021	6412	BR
2020-02-04	573	430	812	4345	BR
2020-02-05	592	539	1376	6944	BR
2020-02-06	665	1239	4237	25286	BR
2020-02-07	563	1412	3066	15669	BR
2020-02-08	415	448	1202	8586	BR
2020-02-09	503	1811	2190	20622	BR
2020-02-10	526	1215	1906	11061	BR
2020-02-11	631	493	1151	6157	BR
2020-02-12	662	667	2300	14444	BR
2020-02-13	866	545	2519	12052	BR
2020-02-14	717	536	2637	15267	BR
2020-02-15	481	2000	6604	31690	BR
2020-02-16	487	729	4294	34137	BR
2020-02-17	494	260	929	5334	BR
