date	empleo_volumen	replies	retweets	likes	iso_2
2020-01-02	3	1	1	2	CR
2020-01-03	2	0	0	0	CR
2020-01-04	4	1	0	4	CR
2020-01-05	18	29	41	194	CR
2020-01-06	4	0	1	1	CR
2020-01-07	6	0	1	9	CR
2020-01-08	5	21	37	90	CR
2020-01-09	11	8	20	105	CR
2020-01-10	6	0	11	23	CR
2020-01-11	4	20	19	30	CR
2020-01-12	8	2	9	12	CR
2020-01-13	6	5	25	157	CR
2020-01-14	6	7	20	82	CR
2020-01-15	3	2	0	9	CR
2020-01-16	3	2	0	5	CR
2020-01-17	3	0	0	10	CR
2020-01-18	12	1	1	4	CR
2020-01-19	5	8	37	103	CR
2020-01-20	7	3	22	132	CR
2020-01-21	5	2	9	10	CR
2020-01-22	5	2	6	17	CR
2020-01-23	2	0	0	0	CR
2020-01-24	3	22	4	20	CR
2020-01-25	7	0	0	0	CR
2020-01-26	7	0	3	3	CR
2020-01-27	8	0	5	22	CR
2020-01-28	6	1	1	10	CR
2020-01-29	9	1	8	6	CR
2020-01-30	3	2	12	4	CR
2020-01-31	6	1	2	3	CR
2020-02-02	1	0	3	10	CR
2020-02-03	3	0	1	4	CR
2020-02-04	7	8	13	25	CR
2020-02-05	10	3	3	8	CR
2020-02-06	62	159	250	1124	CR
2020-02-07	42	74	57	346	CR
2020-02-08	13	8	36	97	CR
2020-02-09	13	11	15	41	CR
2020-02-10	14	1	7	23	CR
2020-02-11	20	14	14	86	CR
2020-02-12	5	1	2	8	CR
2020-02-13	6	0	2	6	CR
2020-02-14	4	0	0	0	CR
2020-02-15	5	2	7	32	CR
2020-02-16	7	3	7	20	CR
2020-02-17	2	1	3	11	CR
2020-02-18	5	1	0	8	CR
2020-02-19	6	0	4	15	CR
2020-02-20	7	1	0	4	CR
2020-02-21	1	2	3	32	CR
2020-02-22	5	8	0	38	CR
2020-02-23	2	0	2	14	CR
2020-02-24	8	2	9	55	CR
2020-02-25	4	2	3	8	CR
2020-02-26	16	27	40	190	CR
2020-02-27	8	10	20	148	CR
2020-02-28	5	5	21	107	CR
2020-02-29	4	0	0	2	CR
2020-03-01	8	17	93	162	CR
